,City,Latitude,Longitude,Max. Temp (F),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
57,chihuahua,28.5,-106.0,81.43,33,37,5.19,MX,1627323654
58,rancho veloz,22.8806,-80.3917,91.89,58,24,3.27,CU,1627323655
59,nome,64.5011,-165.4064,49.15,100,90,9.22,US,1627323655
60,hilo,19.7297,-155.09,73.8,94,90,0.0,US,1627323655
61,arraial do cabo,-22.9661,-42.0278,80.56,61,0,19.57,BR,1627323656
62,luanda,-8.8368,13.2343,73.4,78,20,9.22,AO,1627323386
63,punta arenas,-53.15,-70.9167,42.91,75,0,18.41,CL,1627323543
64,wajir,1.7471,40.0573,83.55,33,91,22.08,KE,1627323656
65,hermanus,-34.4187,19.2345,59.56,69,28,3.18,ZA,1627323657
66,cidreira,-30.1811,-50.2056,63.59,91,99,5.93,BR,1627323657
67,mount isa,-20.7333,139.5,42.57,61,20,0.0,AU,1627323657
68,yangambi,0.8102,24.4336,78.57,62,76,3.56,CD,1627323658
69,mosquera,4.7059,-74.2302,68.09,49,40,3.44,CO,1627323658
70,tupik,54.4253,119.9327,55.47,83,71,4.56,RU,1627323658
71,deputatskiy,69.3,139.9,46.06,86,100,4.65,RU,1627323659
72,castanos,26.7833,-101.4167,85.59,25,1,5.75,MX,1627323659
73,kavieng,-2.5744,150.7967,80.53,77,9,5.57,PG,1627323659
74,nanning,22.8167,108.3167,82.85,75,62,2.91,CN,1627323660
75,mahebourg,-20.4081,57.7,66.49,100,75,10.36,MU,1627323660
76,kattivakkam,13.2167,80.3167,82.49,67,99,13.67,IN,1627323660
77,chuy,-33.6971,-53.4616,54.88,74,100,12.88,UY,1627323661
78,khatanga,71.9667,102.5,58.64,69,74,12.06,RU,1627323661
79,mudgee,-32.5943,149.5871,42.62,93,97,8.05,AU,1627323661
80,suez,29.9737,32.5263,85.62,52,0,14.16,EG,1627323661
81,waddan,29.1614,16.139,90.48,20,0,11.99,LY,1627323662
82,ulladulla,-35.35,150.4667,55.87,60,98,8.95,AU,1627323662
83,bredasdorp,-34.5322,20.0403,58.32,44,52,5.75,ZA,1627323662
84,praia da vitoria,38.7333,-27.0667,74.75,88,75,10.69,PT,1627323663
85,puerto ayora,-0.7393,-90.3518,78.76,80,81,8.99,EC,1627323492
86,klaksvik,62.2266,-6.589,52.72,99,100,7.18,FO,1627323663
87,sydney,-33.8679,151.2073,54.34,79,0,4.0,AU,1627323542
88,airai,-8.9266,125.4092,55.31,66,27,2.44,TL,1627323616
89,tiksi,71.6872,128.8694,38.59,90,99,11.23,RU,1627323664
90,mae sai,20.4335,99.8762,74.52,99,89,0.96,TH,1627323664
91,batagay-alyta,67.8006,130.4114,53.28,81,49,5.21,RU,1627323665
92,maracacume,-2.0428,-45.9592,84.69,63,85,2.95,BR,1627323665
93,cuamba,-14.8031,36.5372,61.34,74,49,6.71,MZ,1627323665
94,maracaju,-21.6144,-55.1683,90.97,22,19,14.47,BR,1627323666
95,severo-kurilsk,50.6789,156.125,56.21,94,88,7.05,RU,1627323666
96,viedma,-40.8135,-62.9967,47.43,41,45,26.75,AR,1627323666
97,grindavik,63.8424,-22.4338,51.75,93,75,16.11,IS,1627323667
98,eureka,40.8021,-124.1637,88.75,73,100,4.7,US,1627323391
99,hervey bay,-25.2986,152.8535,49.03,75,23,4.68,AU,1627323667
100,thompson,55.7435,-97.8558,66.36,32,20,3.44,CA,1627323667
101,san pedro,14.35,121.0167,82.35,83,100,17.09,PH,1627323668
102,broni,45.0655,9.2623,82.06,64,59,6.26,IT,1627323668
103,suntar,62.1444,117.6319,68.29,59,15,3.62,RU,1627323669
104,pevek,69.7008,170.3133,35.96,88,84,11.18,RU,1627323669
105,talnakh,69.4865,88.3972,63.77,84,97,2.51,RU,1627323669
106,mukhen,48.1,136.1,76.06,73,97,4.25,RU,1627323669
107,teya,60.3778,92.6267,72.46,57,58,3.44,RU,1627323670
108,abnub,27.2696,31.1511,92.23,20,0,10.18,EG,1627323670
109,pipri,19.8,75.5333,75.78,88,75,5.75,IN,1627323670
110,alofi,-19.0595,-169.9187,67.89,100,40,2.3,NU,1627323671
111,tuktoyaktuk,69.4541,-133.0374,46.4,87,90,6.91,CA,1627323671
112,fort collins,40.5853,-105.0844,93.51,35,1,4.0,US,1627323512
113,kahului,20.8947,-156.47,80.83,80,1,24.16,US,1627323671
114,katobu,-4.9408,122.5276,70.34,92,13,3.85,ID,1627323672
115,portland,45.5234,-122.6762,80.46,63,20,1.01,US,1627323183
116,faanui,-16.4833,-151.75,78.58,72,54,13.56,PF,1627323672
117,ostrovnoy,68.0531,39.5131,46.31,88,100,23.24,RU,1627323673
118,sao filipe,14.8961,-24.4956,75.78,78,71,7.4,CV,1627323673
119,rawson,-43.3002,-65.1023,46.76,40,11,29.57,AR,1627323673
120,new norfolk,-42.7826,147.0587,53.1,81,98,3.0,AU,1627323674
121,luderitz,-26.6481,15.1594,67.35,46,1,9.13,NA,1627323674
122,ponta do sol,32.6667,-17.1,81.01,80,21,2.48,PT,1627323674
123,haines junction,60.7522,-137.5108,49.95,87,98,3.44,CA,1627323675
124,port elizabeth,-33.918,25.5701,52.09,76,100,0.0,ZA,1627323439
125,alto araguaia,-17.3147,-53.2153,90.0,15,0,5.75,BR,1627323675
126,iqaluit,63.7506,-68.5145,49.73,87,75,5.99,CA,1627323675
127,tilichiki,60.4667,166.1,51.96,99,100,6.08,RU,1627323676
128,henties bay,-22.116,14.2845,69.85,69,0,7.47,NA,1627323676
129,ballina,-28.8667,153.5667,48.78,71,53,4.61,AU,1627323677
130,matagami,49.7502,-77.6328,59.11,77,90,20.71,CA,1627323677
131,shelburne,44.0787,-80.2041,85.77,39,1,12.15,CA,1627323677
132,yar-sale,66.8333,70.8333,47.97,81,43,4.76,RU,1627323678
133,bluff,-46.6,168.3333,42.8,78,79,17.0,NZ,1627323115
134,college,64.8569,-147.8028,64.35,74,75,5.75,US,1627323678
135,esil,51.9556,66.4042,58.53,56,4,9.1,KZ,1627323678
136,antofagasta,-23.65,-70.4,65.21,56,29,10.38,CL,1627323679
137,tabou,4.423,-7.3528,77.54,74,74,11.52,CI,1627323679
138,souillac,-20.5167,57.5167,66.58,100,75,10.36,MU,1627323679
139,oksfjord,70.2396,22.3479,57.27,81,74,3.0,NO,1627323679
140,takayama,36.1333,137.25,72.5,91,97,3.51,JP,1627323680
141,kipushi,-11.7667,27.2333,56.89,43,96,4.72,CD,1627323680
142,houston,29.7633,-95.3633,95.11,59,20,3.0,US,1627322943
143,jalu,29.0331,21.5482,90.18,23,0,8.77,LY,1627323680
144,marsh harbour,26.5412,-77.0636,83.8,70,8,9.64,BS,1627323681
145,georgetown,5.4112,100.3354,83.89,84,20,0.0,MY,1627323681
146,saskylakh,71.9167,114.0833,45.1,89,49,2.73,RU,1627323682
147,sterling,39.0062,-77.4286,94.35,50,75,1.01,US,1627323524
148,may pen,17.9645,-77.2451,87.21,48,93,10.71,JM,1627323682
149,masvingo,-20.0637,30.8277,55.11,49,99,6.64,ZW,1627323682
150,sabang,5.8933,95.3214,83.48,77,64,17.52,ID,1627323427
151,hami,42.8,93.45,88.43,18,29,5.93,CN,1627323683
152,bilma,18.6853,12.9164,93.42,35,89,6.44,NE,1627323683
153,alugan,12.2188,125.4808,81.3,76,100,8.34,PH,1627323684
154,geraldton,-28.7667,114.6,65.12,72,90,25.32,AU,1627323684
155,usinsk,65.9939,57.5281,44.58,93,99,5.12,RU,1627323684
156,torbay,47.6666,-52.7314,66.97,75,75,9.22,CA,1627323685
157,itoman,26.1247,127.6694,80.98,96,40,10.36,JP,1627323685
158,north bend,43.4065,-124.2243,67.15,77,1,11.5,US,1627323685
159,bonavista,48.6499,-53.1147,69.8,76,44,14.54,CA,1627323685
160,nikolskoye,59.7035,30.7861,75.09,67,25,3.85,RU,1627323686
161,ambilobe,-13.2,49.05,68.61,69,56,5.3,MG,1627323686
162,bambous virieux,-20.3428,57.7575,66.45,100,75,10.36,MU,1627323500
163,northam,51.0333,-4.2167,71.13,91,100,8.77,GB,1627323686
164,alvaraes,-3.2208,-64.8042,89.47,44,91,3.85,BR,1627323687
165,northampton,40.8754,-75.2499,88.84,40,97,1.01,US,1627323687
166,sao joao da barra,-21.6403,-41.0511,78.89,68,0,16.89,BR,1627323687
167,mackay,-21.15,149.2,54.05,72,18,5.7,AU,1627323688
168,alekseyevskoye,55.3071,50.1135,63.28,66,45,8.21,RU,1627323688
169,wundanyi,-3.4019,38.364,60.48,51,62,10.87,KE,1627323688
170,vinh,18.6667,105.6667,81.01,78,63,6.29,VN,1627323689
171,qaanaaq,77.484,-69.3632,44.49,54,89,9.71,GL,1627323689
172,ixtapa,20.7,-105.2,88.23,70,75,4.61,MX,1627323493
173,shambu,9.5667,37.1,50.77,98,100,1.43,ET,1627323689
174,ambon,-3.6954,128.1814,73.54,94,20,1.14,ID,1627323690
175,codrington,-38.2667,141.9667,47.95,79,93,15.7,AU,1627323690
176,ituango,7.1712,-75.764,70.47,84,76,2.53,CO,1627323690
177,vaini,-21.2,-175.2,71.76,100,75,0.0,TO,1627323691
178,teofilo otoni,-17.8575,-41.5053,74.97,52,89,5.37,BR,1627323691
179,kieta,-6.2167,155.6333,78.46,83,18,4.43,PG,1627323691
180,kosum phisai,16.2486,103.0674,80.19,85,98,9.91,TH,1627323692
181,kaitangata,-46.2817,169.8464,46.92,72,100,8.61,NZ,1627323692
182,kalmar,56.6616,16.3616,75.13,75,20,5.75,SE,1627323692
183,san patricio,28.017,-97.5169,94.01,40,57,4.52,US,1627323693
184,mitsamiouli,-11.3847,43.2844,76.23,70,39,8.79,KM,1627323693
185,mbabane,-26.3167,31.1333,44.85,73,1,3.78,SZ,1627323693
186,spassk,52.747,87.7545,61.79,99,90,2.73,RU,1627323694
187,searcy,35.2506,-91.7363,94.24,60,1,4.0,US,1627323694
188,astoria,46.1879,-123.8313,73.09,84,40,7.0,US,1627323608
189,sargatskoye,55.6101,73.4972,50.41,73,39,7.87,RU,1627323694
190,nevsehir,38.9167,34.6667,76.21,29,20,4.61,TR,1627323695
191,hay river,60.8156,-115.7999,71.58,53,20,1.14,CA,1627323421
192,edendale,-29.6528,30.3147,53.62,29,52,4.68,ZA,1627323695
193,dhidhdhoo,6.8833,73.1,81.97,77,97,10.65,MV,1627323629
194,znamenskoye,57.1281,73.8282,52.05,78,54,7.27,RU,1627323696
195,naze,28.3667,129.4833,77.13,86,100,11.97,JP,1627323696
196,radovis,41.6383,22.4647,81.3,37,53,6.76,MK,1627323527
197,mar del plata,-38.0023,-57.5575,53.62,56,40,5.01,AR,1627323635
198,pontes e lacerda,-15.2261,-59.3353,96.75,22,0,7.65,BR,1627323697
199,alta floresta,-9.8756,-56.0861,96.62,24,0,8.05,BR,1627323697
200,sur,22.5667,59.5289,92.88,52,71,13.82,OM,1627323697
201,saint-philippe,-21.3585,55.7679,69.35,80,62,11.77,RE,1627323698
202,norwich,52.6278,1.2983,75.15,70,20,5.01,GB,1627323502
203,vertientes,21.2594,-78.1464,90.21,67,27,5.03,CU,1627323698
204,blagoyevo,63.3667,47.9167,49.8,63,59,9.15,RU,1627323671
205,dosso,13.049,3.1937,90.14,49,77,12.24,NE,1627323699
206,newport,51.5877,-2.9984,73.89,81,98,10.74,GB,1627323458
207,iralaya,15.0,-83.2333,83.79,72,44,7.31,HN,1627323699
208,vanavara,60.34,102.2797,65.5,65,45,5.86,RU,1627323699
209,rochegda,62.8,43.25,52.56,59,1,8.93,RU,1627323700
210,sisimiut,66.9395,-53.6735,61.72,54,98,13.02,GL,1627323700
211,kiama,-34.6833,150.8667,57.58,65,97,8.01,AU,1627323700
212,boyolangu,-8.1181,111.8935,71.87,89,71,1.39,ID,1627323701
213,coquimbo,-29.9533,-71.3436,60.53,72,20,13.8,CL,1627323701
214,kismayo,-0.3582,42.5454,75.99,79,66,18.9,SO,1627323701
215,margherita,27.2833,95.6833,77.63,97,100,1.72,IN,1627323702
216,cap malheureux,-19.9842,57.6142,66.69,84,2,4.0,MU,1627323702
217,helong,42.5397,128.9972,68.38,94,36,1.25,CN,1627323702
218,lebu,-37.6167,-73.65,49.68,64,11,16.89,CL,1627323702
219,keuruu,62.2667,24.7,78.98,40,28,3.98,FI,1627323703
220,pampa,35.5362,-100.9599,89.56,69,1,9.22,US,1627323703
221,banda aceh,5.5577,95.3222,80.24,83,66,10.85,ID,1627323703
222,mount gambier,-37.8333,140.7667,46.81,78,64,10.42,AU,1627323495
223,saint anthony,45.0205,-93.218,92.25,50,1,13.8,US,1627323704
224,ternova,50.1849,36.6757,75.76,45,4,8.28,UA,1627323704
225,westport,41.1415,-73.3579,91.45,59,1,10.36,US,1627323528
226,tura,25.5198,90.2201,76.78,93,100,2.91,IN,1627323705
227,tasiilaq,65.6145,-37.6368,51.96,81,13,5.37,GL,1627323705
228,bulawayo,-20.15,28.5833,46.9,68,1,9.82,ZW,1627323705
229,yambio,4.5721,28.3955,68.45,95,74,2.86,SS,1627323706
230,summerside,46.3959,-63.7876,71.47,83,87,10.36,CA,1627323706
231,kruisfontein,-34.0033,24.7314,63.03,26,100,12.73,ZA,1627323706
232,prince rupert,54.3161,-130.3201,57.29,94,90,9.22,CA,1627323707
233,kodiak,57.79,-152.4072,53.35,85,16,2.33,US,1627323502
234,berlevag,70.8578,29.0864,46.71,87,66,7.0,NO,1627323707
235,chokurdakh,70.6333,147.9167,35.62,88,81,11.54,RU,1627323707
236,east london,-33.0153,27.9116,59.94,47,0,5.75,ZA,1627323636
237,karaton,-6.3424,106.1045,78.96,90,21,0.96,ID,1627323708
238,castro,-24.7911,-50.0119,72.18,42,7,8.77,BR,1627323708
239,touros,-5.1989,-35.4608,83.3,62,16,17.67,BR,1627323708
240,eha amufu,6.6592,7.7596,74.12,82,99,2.66,NG,1627323709
241,guanare,9.0418,-69.7421,80.42,88,55,4.14,VE,1627323709
242,pathein,16.7833,94.7333,77.22,93,100,10.07,MM,1627323709
243,velizh,55.6056,31.1967,70.84,56,43,3.6,RU,1627323710
244,victoria,22.2855,114.1577,88.32,85,98,1.01,HK,1627323701
245,madang,-5.2246,145.7966,77.25,90,59,3.6,PG,1627323710
246,la ronge,55.1001,-105.2842,70.02,52,40,5.75,CA,1627323710
247,murmino,54.6036,40.0544,65.19,58,56,4.65,RU,1627323711
248,yerbogachen,61.2767,108.0108,66.29,66,30,4.45,RU,1627323711
249,dwarka,22.2394,68.9678,82.51,84,98,20.47,IN,1627323711
250,vostok,46.4856,135.8833,69.12,92,97,3.67,RU,1627323712
251,coffeyville,37.0373,-95.6164,91.85,66,75,4.61,US,1627323712
252,isfana,39.8386,69.5306,77.56,26,0,8.14,KG,1627323712
253,beringovskiy,63.05,179.3167,52.65,93,100,5.26,RU,1627323713
254,demba,-5.51,22.2667,75.51,28,84,2.93,CD,1627323713
255,husavik,66.0449,-17.3389,57.11,59,94,4.76,IS,1627323713
256,lorengau,-2.0226,147.2712,80.89,76,46,2.95,PG,1627323714
257,leningradskiy,69.3833,178.4167,38.34,88,95,2.51,RU,1627323714
258,san policarpo,12.1791,125.5072,81.41,77,100,8.63,PH,1627323714
259,cabedelo,-6.9811,-34.8339,83.07,72,1,14.47,BR,1627323449
260,lata,40.1629,-8.3327,73.92,50,0,9.17,PT,1627323715
261,cayenne,4.9333,-52.3333,84.24,82,75,4.0,GF,1627323715
262,mega,4.05,38.3,62.49,50,100,8.63,ET,1627323715
263,jacareacanga,-6.2222,-57.7528,95.31,38,0,6.91,BR,1627323716
264,divnomorskoye,44.5011,38.1353,81.12,51,96,7.34,RU,1627323716
265,fortuna,40.5982,-124.1573,88.48,88,1,8.05,US,1627323716
266,constitucion,-35.3333,-72.4167,54.88,65,29,10.74,CL,1627323717
267,dunedin,-45.8742,170.5036,48.79,66,100,18.99,NZ,1627323598
268,guerrero negro,27.9769,-114.0611,77.18,57,1,8.34,MX,1627323496
269,ribeira grande,38.5167,-28.7,79.2,61,20,14.97,PT,1627323717
270,oranjemund,-28.55,16.4333,68.61,35,8,6.91,NA,1627323717
271,monrovia,6.3005,-10.7969,78.13,78,75,12.97,LR,1627323706
272,acton,51.509,-0.2762,75.67,67,40,5.75,GB,1627323718
273,cherskiy,68.75,161.3,39.51,74,1,8.61,RU,1627323718
274,pitimbu,-7.4706,-34.8086,82.99,71,3,12.91,BR,1627323719
275,alice springs,-23.7,133.8833,62.15,22,39,10.36,AU,1627323719
276,tateyama,34.9833,139.8667,74.1,88,75,16.11,JP,1627323719
277,saint george,37.1041,-113.5841,89.8,49,1,3.0,US,1627323662
278,tabas,33.5959,56.9244,96.49,14,1,22.01,IR,1627323720
279,arlit,18.7369,7.3853,104.59,9,78,5.12,NE,1627323720
280,waipawa,-41.4122,175.5153,52.03,83,87,15.43,NZ,1627323720
281,chicama,-7.8447,-79.1469,66.74,61,24,10.8,PE,1627323721
282,nicoya,10.1483,-85.452,89.15,70,100,4.41,CR,1627323721
283,aswan,24.0934,32.907,96.1,23,0,11.5,EG,1627323722
284,yulara,-25.2406,130.9889,44.44,45,11,3.44,AU,1627323722
285,tchibanga,-2.85,11.0333,72.32,74,69,7.56,GA,1627323722
286,anloga,5.7947,0.8973,77.31,78,37,15.66,GH,1627323708
287,nadym,65.5333,72.5167,54.41,63,71,4.38,RU,1627323723
288,hamilton,39.1834,-84.5333,91.0,47,20,1.01,US,1627323723
289,fougeres,48.35,-1.2,69.66,59,75,9.44,FR,1627323723
290,vila do maio,15.1333,-23.2167,83.19,76,22,8.81,CV,1627323724
291,washougal,45.5826,-122.3534,86.61,64,1,4.61,US,1627323724
292,saldanha,-33.0117,17.9442,59.05,73,5,7.38,ZA,1627323724
293,dyurtyuli,55.4911,54.8688,60.75,52,66,6.55,RU,1627323725
294,kholodnyy,62.7167,147.95,48.83,89,100,2.04,RU,1627323725
295,jumla,29.2747,82.1838,66.11,98,100,2.01,NP,1627323725
296,qandala,11.472,49.8728,89.06,50,64,13.85,SO,1627323726
297,beaupre,47.0443,-70.8953,80.94,70,17,13.0,CA,1627323726
298,flinders,-34.5833,150.8552,57.38,66,97,1.99,AU,1627323726
299,bonthe,7.5264,-12.505,78.71,81,75,10.54,SL,1627323727
300,ambunti,-4.2365,142.8448,72.57,99,55,1.59,PG,1627323727
301,dabola,10.75,-11.1167,80.29,87,39,2.44,GN,1627323727
302,abonnema,4.7084,6.7931,79.16,65,59,11.01,NG,1627323728
303,norrtalje,59.758,18.705,75.29,68,91,4.27,SE,1627323728
304,krutinka,56.0055,71.5113,54.01,70,81,9.51,RU,1627323728
305,aurad,18.25,77.4333,75.45,79,40,14.72,IN,1627323729
306,marshall,34.3834,-86.3333,94.06,66,1,0.0,US,1627323539
307,mombetsu,44.3525,143.3525,66.85,89,55,4.03,JP,1627323729
308,umm kaddadah,13.6017,26.6876,89.31,40,80,11.79,SD,1627323729
309,bathsheba,13.2167,-59.5167,86.61,70,40,16.11,BB,1627323730
310,vardo,70.3705,31.1107,48.4,93,40,17.27,NO,1627323730
311,middle island,40.8843,-72.9373,91.54,56,1,6.91,US,1627323730
312,zhezkazgan,47.8043,67.7144,74.07,26,5,15.08,KZ,1627323731
313,teguldet,57.3064,88.1667,64.89,97,82,4.88,RU,1627323731
314,ahipara,-35.1667,173.1667,55.29,83,22,18.84,NZ,1627323731
315,shar,49.5886,81.0453,67.21,75,56,17.96,KZ,1627323732
316,laguna,38.421,-121.4238,91.63,42,1,11.5,US,1627323732
317,rorvik,64.8621,11.2373,68.11,73,0,12.66,NO,1627323732
318,rantepao,-2.9701,119.8978,65.17,84,64,1.88,ID,1627323733
319,port-gentil,-0.7193,8.7815,76.96,83,40,11.5,GA,1627323733
320,jacqueville,5.2052,-4.4146,78.71,78,51,13.22,CI,1627323733
321,cervo,43.6702,-7.4101,74.19,77,14,4.25,ES,1627323734
322,mariinsk,56.2139,87.7472,66.42,95,80,10.6,RU,1627323734
323,muisne,0.6,-80.0333,77.63,80,95,9.69,EC,1627323734
324,salinas,36.6777,-121.6555,72.19,77,90,6.91,US,1627323667
325,osoyoos,49.0331,-119.4524,90.99,34,0,2.3,CA,1627323735
326,fernandez,-27.9204,-63.8935,67.23,34,0,5.01,AR,1627323735
327,luohe,33.5717,114.0353,78.19,85,98,5.66,CN,1627323735
328,lincoln,40.8,-96.667,91.02,48,1,5.01,US,1627323711
329,janauba,-15.8025,-43.3089,82.17,26,0,10.0,BR,1627323736
330,labuhan,-6.8844,112.2051,73.04,85,0,7.61,ID,1627323736
331,maceio,-9.6658,-35.7353,78.24,73,75,14.97,BR,1627323737
332,ust-nera,64.5667,143.2,53.06,89,95,3.04,RU,1627323737
333,tulagi,-9.0996,160.1476,77.47,91,100,21.65,SB,1627323737
334,havre-saint-pierre,50.2334,-63.5986,66.56,88,90,6.91,CA,1627323738
335,neyshabur,36.2133,58.7958,86.22,24,0,16.64,IR,1627323738
336,ternate,0.8,127.4,80.82,82,100,10.45,ID,1627323738
337,buala,-8.145,159.5921,77.85,89,100,7.76,SB,1627323739
338,berkakit,56.5807,124.7681,50.27,93,2,3.06,RU,1627323739
339,pangnirtung,66.1451,-65.7125,53.6,94,75,8.05,CA,1627323739
340,bengkulu,-3.8004,102.2655,74.41,76,43,4.43,ID,1627323740
341,nantucket,41.2835,-70.0995,84.25,85,40,12.66,US,1627323740
342,sobolevo,54.4299,31.8996,69.66,65,67,5.08,RU,1627323740
343,dire,12.2833,-10.9667,82.96,84,63,1.43,ML,1627323741
344,namanyere,-7.5167,31.05,56.8,56,14,4.43,TZ,1627323741
345,rancho palos verdes,33.7445,-118.387,80.31,87,75,3.0,US,1627323669
346,clyde river,70.4692,-68.5914,39.43,93,90,10.36,CA,1627323741
347,sojat,25.9167,73.6667,80.74,81,100,15.97,IN,1627323742
348,innisfail,-17.5333,146.0333,66.92,73,98,3.62,AU,1627323742
349,pimenta bueno,-11.6725,-61.1936,98.82,23,4,3.89,BR,1627323742
350,itarema,-2.9248,-39.9167,85.44,60,39,20.33,BR,1627323743
351,lubumbashi,-11.6609,27.4794,57.45,42,91,4.74,CD,1627323743
352,katihar,25.5333,87.5833,86.34,75,100,2.06,IN,1627323743
353,ust-kishert,57.3654,57.2495,53.82,81,34,8.19,RU,1627323744
354,wonthaggi,-38.6044,145.5913,56.19,73,97,18.03,AU,1627323744
355,nabire,-3.3667,135.4833,75.34,91,65,3.42,ID,1627323745
356,khandbari,27.3747,87.2039,74.62,95,100,1.19,NP,1627323745
357,coihaique,-45.5752,-72.0662,44.55,57,20,5.75,CL,1627323745
358,russkaya polyana,49.417,31.9201,73.8,51,63,5.26,UA,1627323745
359,mont-dore,-22.2833,166.5833,69.01,99,84,4.72,NC,1627323746
360,ardakan,32.31,54.0175,93.58,12,1,7.83,IR,1627323746
361,caravelas,-17.7125,-39.2481,76.77,62,2,7.31,BR,1627323746
362,aquiraz,-3.9014,-38.3911,86.22,56,47,11.48,BR,1627323747
363,chanika,-5.4167,38.0167,62.89,56,61,3.42,TZ,1627323747
364,balabac,7.9868,117.0645,83.86,77,100,12.5,PH,1627323747
365,venustiano carranza,19.43,-99.0992,73.15,42,20,1.99,MX,1627323748
366,polyarnyy,69.1989,33.4478,52.27,87,85,13.96,RU,1627323748
367,amapa,1.0,-52.0,84.34,64,58,3.02,BR,1627323749
368,sinnamary,5.3833,-52.95,82.8,73,55,8.88,GF,1627323749
